account_id,batch_seq,region,priority,event_id,amount_cents
ACCT-100,3,east,5,EVT-1003,5500
ACCT-400,2,east,5,EVT-4002,2700
ACCT-300,2,east,4,EVT-3002,6400
ACCT-400,3,east,4,EVT-4003,2250
ACCT-200,1,east,3,EVT-2001,4999
ACCT-500,4,east,3,EVT-5004,3425
ACCT-600,1,east,2,EVT-6001,3600
ACCT-200,4,east,1,EVT-2004,940
ACCT-200,2,north,5,EVT-2002,1750
ACCT-500,3,north,5,EVT-5003,6800
ACCT-100,4,north,4,EVT-1004,1325
ACCT-400,1,north,3,EVT-4001,3100
ACCT-600,4,north,3,EVT-6004,4550
ACCT-100,1,north,2,EVT-1001,1250
ACCT-300,4,north,2,EVT-3004,7600
ACCT-500,2,north,1,EVT-5002,910
ACCT-100,2,south,5,EVT-1002,2300
ACCT-300,3,south,5,EVT-3003,5100
ACCT-500,1,south,4,EVT-5001,1500
ACCT-600,3,south,4,EVT-6003,1995
ACCT-600,2,south,3,EVT-6002,4200
ACCT-200,3,south,2,EVT-2003,2875
ACCT-300,1,south,1,EVT-3001,820
ACCT-400,4,south,1,EVT-4004,1180
